weekDate,hour,min,sec,LLIV,LKIT,LBED,LBAT,TOFF,THOM
mon,17,35,33,1,0,0,0,0,0
mon,17,35,34,1,1,0,0,0,0
mon,17,35,34,1,1,1,0,0,0
mon,17,35,35,1,1,1,1,0,0
mon,17,35,36,1,0,1,1,0,0
mon,17,35,37,1,0,0,1,0,0
mon,17,35,37,1,0,0,1,124,0
mon,17,35,37,1,0,0,1,24,0
mon,17,35,38,1,0,0,1,24,27
mon,17,35,38,1,0,0,1,183,27
mon,17,35,39,1,0,0,1,183,37
mon,17,35,40,1,0,0,1,183,21
mon,17,35,40,1,0,0,1,231,21
mon,17,35,41,1,0,0,1,75,21
mon,17,35,41,1,0,0,1,155,21
mon,17,35,42,1,0,0,0,155,21
mon,17,35,43,1,1,0,0,155,21
mon,17,35,43,1,1,1,0,155,21
mon,17,35,43,1,1,1,1,155,21
mon,17,35,44,0,1,1,1,155,21
mon,17,35,45,0,0,1,1,155,21
mon,17,35,45,0,0,0,1,155,21
mon,17,35,45,0,1,0,1,155,21
mon,17,35,46,0,1,0,0,155,21
mon,17,35,47,1,1,0,0,155,21
mon,17,35,47,1,1,1,0,155,21
mon,17,35,48,1,0,1,0,155,21
